id,Age,Gender,Reviews_Read,Price,Discount,Category,Items_In_Cart,Time_of_Day,Email_Interaction,Device_Type,Payment_Method,Referral_Source,Socioeconomic_Status_Score,Engagement_Score,AB_Bucket,Price_Sine,Session_ID,Day,Campaign_Period,Purchase
1,,1.0,3.0,592.975,22.0,1.0,6.0,afternoon,0.0,Mobile,Credit,Social_media,7.26,1.85651988882061,3.0,0.999046734634677,S0000003,59,False,0
2,25.0,1.0,1.0,511.279,12.0,0.0,3.0,morning,1.0,Tablet,Cash,Social_media,8.3,1.86813832789546,5.0,-0.129688684852924,S0000005,29,True,1
3,22.0,0.0,3.0,218.36,2.0,1.0,4.0,evening,1.0,Mobile,Bank,Social_media,6.61,1.22344539869077,0.0,-0.421645722896257,S0000007,16,False,0
4,24.0,0.0,3.0,313.781,1.0,3.0,0.0,evening,1.0,Mobile,PayPal,Social_media,10.51,0.359684290919756,1.0,-0.988239209012344,S0000008,53,False,0
5,35.0,1.0,1.0,495.088,13.0,0.0,2.0,evening,0.0,Mobile,Cash,Social_media,8.33,3.84857984948332,2.0,0.69573668628572,S0000009,10,False,0
6,28.0,0.0,2.0,188.807,21.0,2.0,,evening,0.0,Desktop,Bank,Direct,3.13,0.863242298207413,3.0,-0.874546477964023,S0000010,57,False,0
7,,1.0,2.0,479.629,41.0,4.0,6.0,afternoon,1.0,Mobile,Bank,Search_engine,,0.828183957211813,4.0,0.998348364690649,S0000011,26,True,0
8,19.0,1.0,4.0,,12.0,3.0,14.0,morning,,Desktop,Bank,Search_engine,1.62,1.48669506913499,6.0,0.862094802133841,S0000013,12,False,0
9,18.0,0.0,5.0,831.402,2.0,3.0,2.0,morning,0.0,Desktop,PayPal,Search_engine,6.23,1.37603031722534,,0.804533636720674,S0000014,47,True,0
10,22.0,1.0,4.0,234.562,14.0,1.0,2.0,morning,1.0,Mobile,Bank,Social_media,6.71,1.31973908819596,2.0,0.448290160416763,S0000016,3,False,0
11,36.0,0.0,4.0,762.26,20.0,2.0,7.0,afternoon,1.0,Desktop,Bank,Social_media,2.62,5.58590843842961,5.0,-0.997970373660031,S0000019,58,False,0
12,27.0,0.0,2.0,431.6,4.0,4.0,2.0,morning,0.0,Desktop,Cash,Ads,0.0,1.71732220673534,1.0,-0.914780195975801,S0000022,45,True,0
13,65.0,0.0,2.0,948.955,27.0,1.0,1.0,afternoon,1.0,Mobile,Cash,Direct,6.23,3.95600536910236,2.0,0.634493380475653,S0000023,56,False,1
14,21.0,,2.0,65.749,33.0,0.0,3.0,evening,0.0,Desktop,Credit,Search_engine,0.64,5.05624580534831,3.0,-0.489162760054413,S0000024,66,False,1
15,28.0,1.0,3.0,976.943,46.0,1.0,3.0,evening,0.0,Mobile,PayPal,Email,,3.60337340881602,5.0,-0.762737765843132,S0000026,45,True,1
16,37.0,0.0,5.0,732.919,35.0,4.0,6.0,afternoon,0.0,Desktop,Credit,Ads,7.6,1.1077528229273,6.0,0.12267249836613,S0000027,21,False,0
17,21.0,0.0,1.0,35.129,7.0,3.0,,evening,1.0,Tablet,Bank,Direct,11.63,3.00236778356728,1.0,0.928362107171014,S0000029,65,False,1
18,,0.0,3.0,531.248,37.0,3.0,2.0,evening,0.0,Desktop,Bank,Ads,8.15,1.03972077083992,3.0,,S0000031,57,False,0
19,,0.0,4.0,174.999,27.0,1.0,0.0,afternoon,0.0,Mobile,Bank,Ads,5.01,2.27487828496586,4.0,-0.293024537401879,S0000032,56,False,1
20,25.0,0.0,2.0,,27.0,0.0,1.0,evening,0.0,,PayPal,Search_engine,8.45,1.01685304536045,5.0,-0.618762956895831,S0000033,35,True,1
21,44.0,1.0,3.0,983.116,29.0,0.0,9.0,evening,0.0,Desktop,Bank,Email,1.32,3.55841973261441,0.0,-0.935785499804142,S0000035,43,True,0
22,,0.0,5.0,485.433,50.0,3.0,5.0,afternoon,0.0,Mobile,Bank,Email,5.97,0.749260138686649,2.0,0.965102336337725,S0000037,35,True,0
23,23.0,1.0,2.0,252.387,38.0,1.0,1.0,evening,0.0,Mobile,Credit,Ads,6.13,3.51847041508314,3.0,0.993318034094898,S0000038,11,False,1
