iter	Passed	Remaining
0	17	12891
1	29	10868
2	41	9992
3	51	9377
4	61	8906
5	71	8639
6	81	8394
7	90	8230
8	101	8136
9	111	8059
10	122	8005
11	132	7938
12	143	7909
13	155	7965
14	167	8028
15	179	8034
16	192	8113
17	205	8166
18	219	8228
19	232	8289
20	248	8403
21	263	8503
22	279	8628
23	295	8711
24	311	8803
25	327	8884
26	341	8910
27	356	8954
28	369	8947
29	381	8936
30	398	9019
31	412	9021
32	425	9009
33	439	9018
34	452	9014
35	465	9002
36	478	8982
37	490	8964
38	503	8944
39	515	8926
40	527	8887
41	539	8863
42	551	8840
43	563	8818
44	575	8784
45	587	8754
46	597	8715
47	609	8680
48	620	8643
49	630	8603
50	641	8564
51	653	8542
52	663	8505
53	674	8471
54	685	8438
55	695	8400
56	703	8325
57	714	8301
58	726	8285
59	739	8277
60	751	8265
61	763	8246
62	774	8226
63	783	8179
64	795	8163
65	809	8167
66	820	8146
67	834	8143
68	845	8124
69	857	8112
70	870	8106
71	883	8100
72	894	8078
73	907	8066
74	920	8059
75	932	8046
76	944	8035
77	956	8018
78	967	7995
79	979	7980
80	991	7968
81	1006	7975
82	1017	7958
83	1030	7947
84	1040	7916
85	1051	7901
86	1063	7887
87	1074	7865
88	1086	7853
89	1098	7836
90	1109	7817
91	1121	7802
92	1133	7788
93	1145	7773
94	1156	7754
95	1169	7746
96	1179	7722
97	1190	7703
98	1202	7689
99	1214	7674
100	1225	7657
101	1238	7652
102	1252	7649
103	1264	7634
104	1275	7618
105	1287	7601
106	1297	7580
107	1310	7569
108	1321	7553
109	1332	7534
110	1345	7525
111	1357	7515
112	1368	7497
113	1376	7462
114	1395	7486
115	1407	7473
116	1418	7458
117	1431	7448
118	1445	7444
119	1457	7431
120	1469	7420
121	1481	7406
122	1493	7395
123	1507	7389
124	1518	7374
125	1533	7375
126	1546	7365
127	1563	7378
128	1581	7390
129	1606	7439
130	1620	7432
131	1637	7440
132	1654	7450
133	1670	7452
134	1683	7443
135	1702	7459
136	1721	7475
137	1738	7484
138	1756	7491
139	1773	7497
140	1790	7503
141	1807	7511
142	1824	7512
143	1842	7523
144	1862	7538
145	1886	7570
146	1907	7589
147	1922	7587
148	1936	7576
149	1950	7566
150	1963	7554
151	1977	7544
152	1991	7535
153	2004	7522
154	2018	7514
155	2031	7501
156	2046	7493
157	2058	7479
158	2073	7470
159	2086	7460
160	2099	7447
161	2111	7429
162	2123	7413
163	2137	7401
164	2150	7389
165	2163	7375
166	2174	7357
167	2187	7343
168	2200	7329
169	2212	7314
170	2225	7301
171	2239	7292
172	2254	7283
173	2267	7272
174	2281	7263
175	2296	7256
176	2312	7249
177	2323	7232
178	2343	7238
179	2365	7254
180	2382	7252
181	2400	7254
182	2420	7261
183	2438	7261
184	2457	7265
185	2477	7274
186	2494	7268
187	2512	7269
188	2529	7266
189	2547	7266
190	2570	7280
191	2589	7282
192	2603	7271
193	2619	7263
194	2632	7248
195	2645	7233
196	2659	7223
197	2673	7210
198	2688	7199
199	2702	7188
200	2716	7177
201	2731	7167
202	2745	7153
203	2757	7138
204	2770	7121
205	2782	7103
206	2793	7083
207	2805	7067
208	2818	7052
209	2831	7037
210	2842	7019
211	2855	7004
212	2866	6985
213	2879	6969
214	2890	6950
215	2900	6928
216	2912	6912
217	2925	6896
218	2937	6881
219	2947	6860
220	2959	6842
221	2970	6824
222	2980	6803
223	2993	6789
224	3004	6770
225	3016	6753
226	3027	6735
227	3038	6717
228	3050	6700
229	3062	6683
230	3073	6665
231	3084	6646
232	3095	6630
233	3106	6611
234	3118	6594
235	3128	6574
236	3139	6558
237	3151	6541
238	3163	6525
239	3175	6508
240	3187	6494
241	3198	6476
242	3210	6461
243	3224	6448
244	3236	6434
245	3250	6421
246	3261	6404
247	3272	6385
248	3283	6369
249	3294	6352
250	3305	6334
251	3318	6320
252	3327	6299
253	3336	6279
254	3348	6264
255	3360	6248
256	3373	6235
257	3385	6219
258	3397	6204
259	3408	6187
260	3420	6173
261	3432	6157
262	3443	6140
263	3454	6123
264	3465	6106
265	3478	6093
266	3488	6076
267	3499	6059
268	3509	6039
269	3521	6025
270	3534	6012
271	3546	5997
272	3556	5980
273	3568	5964
274	3580	5949
275	3592	5935
276	3602	5917
277	3614	5903
278	3625	5886
279	3637	5872
280	3648	5856
281	3661	5842
282	3670	5822
283	3682	5809
284	3693	5792
285	3705	5778
286	3716	5762
287	3727	5747
288	3738	5731
289	3750	5715
290	3762	5702
291	3774	5687
292	3783	5669
293	3795	5655
294	3806	5638
295	3816	5621
296	3828	5607
297	3839	5591
298	3851	5577
299	3863	5563
300	3875	5549
301	3886	5533
302	3897	5518
303	3907	5501
304	3920	5488
305	3933	5476
306	3945	5461
307	4022	5537
308	4049	5543
309	4061	5528
310	4074	5515
311	4086	5500
312	4099	5487
313	4112	5474
314	4124	5459
315	4136	5445
316	4148	5431
317	4161	5417
318	4174	5404
319	4185	5388
320	4200	5377
321	4212	5363
322	4223	5348
323	4235	5334
324	4247	5319
325	4260	5306
326	4272	5291
327	4283	5276
328	4296	5263
329	4309	5250
330	4321	5235
331	4333	5221
332	4346	5207
333	4360	5195
334	4373	5183
335	4386	5169
336	4398	5155
337	4410	5141
338	4422	5126
339	4432	5109
340	4443	5095
341	4455	5080
342	4466	5065
343	4478	5051
344	4490	5037
345	4502	5022
346	4513	5007
347	4525	4993
348	4536	4978
349	4547	4963
350	4557	4947
351	4570	4933
352	4581	4918
353	4593	4904
354	4606	4891
355	4621	4880
356	4633	4867
